id,first_name,last_name,serve_power,serve_skill,spin,forehand_power,backhand_power,fitness,age,,,
1,Cristiano,Gilbertine,7,10,10,7,10,9,58,,,
2,Vivianne,Levi,3,6,1,2,10,3,24,,,
3,Dynah,Estell,3,8,1,9,10,3,59,,,
4,Basia,Myrtia,7,3,9,1,4,9,41,,,
5,Cross,Nikita,6,1,6,6,4,9,16,,,
6,Paolina,Selinda,1,6,8,10,3,10,45,,,
7,Dilly,Jasen,5,2,8,4,9,2,67,,,
8,Ilario,Ainslee,1,4,4,5,9,2,50,,,
9,Andrej,Barret,1,2,7,8,7,7,30,,,
10,Dicky,Quincy,2,4,7,2,10,5,57,,,
11,Arlinda,Charyl,3,7,10,3,8,7,30,,,
12,Carmelle,Sybilla,5,10,9,7,10,1,17,,,
13,Lissy,Milena,9,2,1,1,2,10,58,,,players-attributes
14,Vonny,Brynne,7,9,1,4,6,8,24,,,
15,Elia,Stavros,1,9,2,6,6,6,16,,,
16,Romonda,Leonhard,3,3,4,7,9,5,54,,,
17,Philippine,Hailee,4,2,7,3,6,6,18,,,
18,Dallas,Panchito,5,5,2,8,1,4,33,,,
19,Bobbee,Gretna,3,2,7,4,8,5,63,,,
20,Brigit,Free,5,5,2,7,1,9,51,,,
21,Archie,Carlotta,7,2,5,6,8,5,30,,,
22,Allissa,Claiborn,7,7,2,3,2,6,27,,,
23,Terri,Drona,5,8,7,10,2,3,52,,,
24,Monica,Joe,5,4,6,5,1,9,17,,,
25,Ariel,Kaleena,3,3,10,9,5,1,63,,,
26,Mozelle,Rozamond,9,5,5,9,8,7,43,,,
27,Gibb,Sabina,5,5,2,8,1,3,38,,,
28,Valma,Tressa,3,8,2,1,8,3,17,,,
29,Vick,Eliot,5,9,10,1,8,1,36,,,
30,Melita,Pauline,6,6,4,2,7,10,52,,,
31,Wylie,Libby,3,10,7,6,7,6,63,,,
32,Gayler,Kori,4,1,2,2,9,1,32,,,
33,Alla,Cristy,8,1,8,7,7,1,16,,,
34,Archibaldo,Cecile,4,6,7,3,8,8,58,,,
35,Adler,Morie,3,6,4,3,6,7,31,,,
36,Lorrin,Horten,8,4,10,7,5,5,36,,,
37,Vikki,Yoko,8,9,3,9,8,10,44,,,
38,Marleen,Lutero,6,4,1,8,7,2,46,,,
39,Hall,Gussy,1,7,10,7,5,1,36,,,
40,Anastassia,Jorge,9,1,6,9,8,2,41,,,
41,Isadore,Ulrikaumeko,9,3,5,1,7,9,52,,,
42,Bartlet,Galen,5,7,10,9,8,10,69,,,
43,Celine,Griffin,9,2,4,5,2,8,27,,,
44,Etta,Jae,6,5,1,6,3,2,34,,,
45,Iolande,Berny,6,10,8,6,1,8,19,,,
46,Jasmina,Arda,3,9,8,8,4,1,28,,,
47,Tynan,Raff,8,2,2,2,3,1,68,,,
48,Teri,Jaquenette,8,7,10,9,1,1,67,,,
49,Phil,Bobbette,3,3,5,10,8,9,57,,,
50,Osbert,Lemmy,1,4,3,3,7,2,41,,,
51,Megen,Jo-ann,3,6,4,5,7,6,30,,,
52,Diann,Reginald,4,6,9,4,7,9,37,,,
53,Erin,Catarina,7,8,5,7,8,5,31,,,
54,Susy,Dorella,9,7,2,5,1,10,32,,,
55,Teresita,Freddy,6,10,1,10,8,10,41,,,
56,Zorah,Cullen,2,4,5,10,7,4,38,,,
57,Ash,Georgena,3,1,6,9,3,6,46,,,
58,Adelheid,Royce,7,10,1,3,7,3,31,,,
59,Hogan,Kathleen,6,10,10,6,7,7,59,,,
